,Distribución por fuente de ingresos,Periodo,Total,cod_mun,nom_mun,Total_num
103668,Fuente de ingreso: otras prestaciones,2020,"776,0",08180,Ripollet,776.0
103669,Fuente de ingreso: otras prestaciones,2019,"724,0",08180,Ripollet,724.0
103674,Fuente de ingreso: otros ingresos,2020,"943,0",08180,Ripollet,943.0
103675,Fuente de ingreso: otros ingresos,2019,"1.063,0",08180,Ripollet,1063.0
106884,Renta bruta media por persona,2020,"16.409,0",08187,Sabadell,16409.0
106885,Renta bruta media por persona,2019,"16.370,0",08187,Sabadell,16370.0
106890,Fuente de ingreso: salario,2020,"10.069,0",08187,Sabadell,10069.0
106891,Fuente de ingreso: salario,2019,"10.478,0",08187,Sabadell,10478.0
106896,Fuente de ingreso: pensiones,2020,"3.211,0",08187,Sabadell,3211.0
106897,Fuente de ingreso: pensiones,2019,"3.111,0",08187,Sabadell,3111.0
106902,Fuente de ingreso: prestaciones por desempleo,2020,"751,0",08187,Sabadell,751.0
106903,Fuente de ingreso: prestaciones por desempleo,2019,"266,0",08187,Sabadell,266.0
106908,Fuente de ingreso: otras prestaciones,2020,"908,0",08187,Sabadell,908.0
106909,Fuente de ingreso: otras prestaciones,2019,"873,0",08187,Sabadell,873.0
106914,Fuente de ingreso: otros ingresos,2020,"1.471,0",08187,Sabadell,1471.0
106915,Fuente de ingreso: otros ingresos,2019,"1.642,0",08187,Sabadell,1642.0
113868,Renta bruta media por persona,2020,"13.333,0",08194,Sant Adrià de Besòs,13333.0
113869,Renta bruta media por persona,2019,"13.255,0",08194,Sant Adrià de Besòs,13255.0
113874,Fuente de ingreso: salario,2020,"8.152,0",08194,Sant Adrià de Besòs,8152.0
113875,Fuente de ingreso: salario,2019,"8.630,0",08194,Sant Adrià de Besòs,8630.0
113880,Fuente de ingreso: pensiones,2020,"2.684,0",08194,Sant Adrià de Besòs,2684.0
113881,Fuente de ingreso: pensiones,2019,"2.620,0",08194,Sant Adrià de Besòs,2620.0
113886,Fuente de ingreso: prestaciones por desempleo,2020,"827,0",08194,Sant Adrià de Besòs,827.0
113887,Fuente de ingreso: prestaciones por desempleo,2019,"276,0",08194,Sant Adrià de Besòs,276.0
113892,Fuente de ingreso: otras prestaciones,2020,"810,0",08194,Sant Adrià de Besòs,810.0
113893,Fuente de ingreso: otras prestaciones,2019,"754,0",08194,Sant Adrià de Besòs,754.0
113898,Fuente de ingreso: otros ingresos,2020,"860,0",08194,Sant Adrià de Besòs,860.0
113899,Fuente de ingreso: otros ingresos,2019,"974,0",08194,Sant Adrià de Besòs,974.0
116316,Renta bruta media por persona,2020,"15.875,0",08200,Sant Boi de Llobregat,15875.0
116317,Renta bruta media por persona,2019,"15.801,0",08200,Sant Boi de Llobregat,15801.0
116322,Fuente de ingreso: salario,2020,"9.971,0",08200,Sant Boi de Llobregat,9971.0
116323,Fuente de ingreso: salario,2019,"10.487,0",08200,Sant Boi de Llobregat,10487.0
116328,Fuente de ingreso: pensiones,2020,"3.173,0",08200,Sant Boi de Llobregat,3173.0
116329,Fuente de ingreso: pensiones,2019,"3.060,0",08200,Sant Boi de Llobregat,3060.0
116334,Fuente de ingreso: prestaciones por desempleo,2020,"808,0",08200,Sant Boi de Llobregat,808.0
116335,Fuente de ingreso: prestaciones por desempleo,2019,"265,0",08200,Sant Boi de Llobregat,265.0
116340,Fuente de ingreso: otras prestaciones,2020,"832,0",08200,Sant Boi de Llobregat,832.0
116341,Fuente de ingreso: otras prestaciones,2019,"785,0",08200,Sant Boi de Llobregat,785.0
116346,Fuente de ingreso: otros ingresos,2020,"1.090,0",08200,Sant Boi de Llobregat,1090.0
116347,Fuente de ingreso: otros ingresos,2019,"1.204,0",08200,Sant Boi de Llobregat,1204.0
119088,Renta bruta media por persona,2020,"18.254,0",08204,Sant Climent de Llobregat,18254.0
119089,Renta bruta media por persona,2019,"18.502,0",08204,Sant Climent de Llobregat,18502.0
119094,Fuente de ingreso: salario,2020,"12.827,0",08204,Sant Climent de Llobregat,12827.0
119095,Fuente de ingreso: salario,2019,"13.578,0",08204,Sant Climent de Llobregat,13578.0
119100,Fuente de ingreso: pensiones,2020,"2.334,0",08204,Sant Climent de Llobregat,2334.0
119101,Fuente de ingreso: pensiones,2019,"2.317,0",08204,Sant Climent de Llobregat,2317.0
119106,Fuente de ingreso: prestaciones por desempleo,2020,"880,0",08204,Sant Climent de Llobregat,880.0
119107,Fuente de ingreso: prestaciones por desempleo,2019,"234,0",08204,Sant Climent de Llobregat,234.0
119112,Fuente de ingreso: otras prestaciones,2020,"634,0",08204,Sant Climent de Llobregat,634.0
119113,Fuente de ingreso: otras prestaciones,2019,"593,0",08204,Sant Climent de Llobregat,593.0
119118,Fuente de ingreso: otros ingresos,2020,"1.579,0",08204,Sant Climent de Llobregat,1579.0
119119,Fuente de ingreso: otros ingresos,2019,"1.779,0",08204,Sant Climent de Llobregat,1779.0
119232,Renta bruta media por persona,2020,"29.115,0",08205,Sant Cugat del Vallès,29115.0
119233,Renta bruta media por persona,2019,"28.911,0",08205,Sant Cugat del Vallès,28911.0
119238,Fuente de ingreso: salario,2020,"19.029,0",08205,Sant Cugat del Vallès,19029.0
119239,Fuente de ingreso: salario,2019,"19.088,0",08205,Sant Cugat del Vallès,19088.0
119244,Fuente de ingreso: pensiones,2020,"3.154,0",08205,Sant Cugat del Vallès,3154.0
119245,Fuente de ingreso: pensiones,2019,"3.053,0",08205,Sant Cugat del Vallès,3053.0
119250,Fuente de ingreso: prestaciones por desempleo,2020,"622,0",08205,Sant Cugat del Vallès,622.0
119251,Fuente de ingreso: prestaciones por desempleo,2019,"200,0",08205,Sant Cugat del Vallès,200.0
119256,Fuente de ingreso: otras prestaciones,2020,"729,0",08205,Sant Cugat del Vallès,729.0
119257,Fuente de ingreso: otras prestaciones,2019,"678,0",08205,Sant Cugat del Vallès,678.0
119262,Fuente de ingreso: otros ingresos,2020,"5.581,0",08205,Sant Cugat del Vallès,5581.0
119263,Fuente de ingreso: otros ingresos,2019,"5.892,0",08205,Sant Cugat del Vallès,5892.0
122256,Renta bruta media por persona,2020,"18.757,0",08211,Sant Feliu de Llobregat,18757.0
122257,Renta bruta media por persona,2019,"18.756,0",08211,Sant Feliu de Llobregat,18756.0
122262,Fuente de ingreso: salario,2020,"12.198,0",08211,Sant Feliu de Llobregat,12198.0
122263,Fuente de ingreso: salario,2019,"12.654,0",08211,Sant Feliu de Llobregat,12654.0
122268,Fuente de ingreso: pensiones,2020,"3.285,0",08211,Sant Feliu de Llobregat,3285.0
122269,Fuente de ingreso: pensiones,2019,"3.237,0",08211,Sant Feliu de Llobregat,3237.0
122274,Fuente de ingreso: prestaciones por desempleo,2020,"761,0",08211,Sant Feliu de Llobregat,761.0
122275,Fuente de ingreso: prestaciones por desempleo,2019,"236,0",08211,Sant Feliu de Llobregat,236.0
122280,Fuente de ingreso: otras prestaciones,2020,"789,0",08211,Sant Feliu de Llobregat,789.0
122281,Fuente de ingreso: otras prestaciones,2019,"750,0",08211,Sant Feliu de Llobregat,750.0
122286,Fuente de ingreso: otros ingresos,2020,"1.725,0",08211,Sant Feliu de Llobregat,1725.0
122287,Fuente de ingreso: otros ingresos,2019,"1.879,0",08211,Sant Feliu de Llobregat,1879.0
124632,Renta bruta media por persona,2020,"19.811,0",08217,Sant Joan Despí,19811.0
124633,Renta bruta media por persona,2019,"19.729,0",08217,Sant Joan Despí,19729.0
124638,Fuente de ingreso: salario,2020,"13.254,0",08217,Sant Joan Despí,13254.0
124639,Fuente de ingreso: salario,2019,"13.680,0",08217,Sant Joan Despí,13680.0
124644,Fuente de ingreso: pensiones,2020,"3.107,0",08217,Sant Joan Despí,3107.0
124645,Fuente de ingreso: pensiones,2019,"3.034,0",08217,Sant Joan Despí,3034.0
124650,Fuente de ingreso: prestaciones por desempleo,2020,"769,0",08217,Sant Joan Despí,769.0
124651,Fuente de ingreso: prestaciones por desempleo,2019,"247,0",08217,Sant Joan Despí,247.0
124656,Fuente de ingreso: otras prestaciones,2020,"795,0",08217,Sant Joan Despí,795.0
124657,Fuente de ingreso: otras prestaciones,2019,"763,0",08217,Sant Joan Despí,763.0
124662,Fuente de ingreso: otros ingresos,2020,"1.886,0",08217,Sant Joan Despí,1886.0
124663,Fuente de ingreso: otros ingresos,2019,"2.007,0",08217,Sant Joan Despí,2007.0
126684,Renta bruta media por persona,2020,"29.481,0",08221,Sant Just Desvern,29481.0
126685,Renta bruta media por persona,2019,"30.453,0",08221,Sant Just Desvern,30453.0
126690,Fuente de ingreso: salario,2020,"18.323,0",08221,Sant Just Desvern,18323.0
126691,Fuente de ingreso: salario,2019,"18.461,0",08221,Sant Just Desvern,18461.0
126696,Fuente de ingreso: pensiones,2020,"3.670,0",08221,Sant Just Desvern,3670.0
126697,Fuente de ingreso: pensiones,2019,"3.818,0",08221,Sant Just Desvern,3818.0
126702,Fuente de ingreso: prestaciones por desempleo,2020,"656,0",08221,Sant Just Desvern,656.0
126703,Fuente de ingreso: prestaciones por desempleo,2019,"184,0",08221,Sant Just Desvern,184.0
126708,Fuente de ingreso: otras prestaciones,2020,"708,0",08221,Sant Just Desvern,708.0
126709,Fuente de ingreso: otras prestaciones,2019,"654,0",08221,Sant Just Desvern,654.0
126714,Fuente de ingreso: otros ingresos,2020,"6.122,0",08221,Sant Just Desvern,6122.0
126715,Fuente de ingreso: otros ingresos,2019,"7.336,0",08221,Sant Just Desvern,7336.0
131184,Renta bruta media por persona,2020,"19.788,0",08244,Santa Coloma de Cervelló,19788.0
131185,Renta bruta media por persona,2019,"19.295,0",08244,Santa Coloma de Cervelló,19295.0
131190,Fuente de ingreso: salario,2020,"14.048,0",08244,Santa Coloma de Cervelló,14048.0
131191,Fuente de ingreso: salario,2019,"14.128,0",08244,Santa Coloma de Cervelló,14128.0
131196,Fuente de ingreso: pensiones,2020,"2.498,0",08244,Santa Coloma de Cervelló,2498.0
131197,Fuente de ingreso: pensiones,2019,"2.391,0",08244,Santa Coloma de Cervelló,2391.0
131202,Fuente de ingreso: prestaciones por desempleo,2020,"736,0",08244,Santa Coloma de Cervelló,736.0
131203,Fuente de ingreso: prestaciones por desempleo,2019,"227,0",08244,Santa Coloma de Cervelló,227.0
131208,Fuente de ingreso: otras prestaciones,2020,"600,0",08244,Santa Coloma de Cervelló,600.0
131209,Fuente de ingreso: otras prestaciones,2019,"589,0",08244,Santa Coloma de Cervelló,589.0
131214,Fuente de ingreso: otros ingresos,2020,"1.906,0",08244,Santa Coloma de Cervelló,1906.0
131215,Fuente de ingreso: otros ingresos,2019,"1.962,0",08244,Santa Coloma de Cervelló,1962.0
131436,Renta bruta media por persona,2020,"12.562,0",08245,Santa Coloma de Gramenet,12562.0
131437,Renta bruta media por persona,2019,"12.544,0",08245,Santa Coloma de Gramenet,12544.0
131442,Fuente de ingreso: salario,2020,"7.372,0",08245,Santa Coloma de Gramenet,7372.0
131443,Fuente de ingreso: salario,2019,"7.902,0",08245,Santa Coloma de Gramenet,7902.0
131448,Fuente de ingreso: pensiones,2020,"2.924,0",08245,Santa Coloma de Gramenet,2924.0
131449,Fuente de ingreso: pensiones,2019,"2.874,0",08245,Santa Coloma de Gramenet,2874.0
131454,Fuente de ingreso: prestaciones por desempleo,2020,"812,0",08245,Santa Coloma de Gramenet,812.0
131455,Fuente de ingreso: prestaciones por desempleo,2019,"273,0",08245,Santa Coloma de Gramenet,273.0
131460,Fuente de ingreso: otras prestaciones,2020,"672,0",08245,Santa Coloma de Gramenet,672.0
131461,Fuente de ingreso: otras prestaciones,2019,"617,0",08245,Santa Coloma de Gramenet,617.0
131466,Fuente de ingreso: otros ingresos,2020,"782,0",08245,Santa Coloma de Gramenet,782.0
