,cod_mun,nom_mun,Periodo,Edad media de la población,Porcentaje de hogares unipersonales,Porcentaje de población de 65 y más años,Porcentaje de población española,Porcentaje de población menor de 18 años,Tamaño medio del hogar
1107,08187,Sabadell,2018,"41,8","24,9","18,5","88,0","19,2","3,00"
1108,08187,Sabadell,2019,"41,9","24,9","18,5","86,9","19,0","3,00"
1109,08187,Sabadell,2020,"42,1","25,1","18,6","86,7","18,8","3,00"
1146,08194,Sant Adrià de Besòs,2015,"40,2","23,0","17,2","87,7","20,2","3,00"
1147,08194,Sant Adrià de Besòs,2016,"40,3","22,8","17,1","87,5","20,1","3,00"
1148,08194,Sant Adrià de Besòs,2017,"40,5","23,3","17,0","87,2","20,0","3,00"
1149,08194,Sant Adrià de Besòs,2018,"40,6","23,3","17,0","86,1","19,8","3,00"
1150,08194,Sant Adrià de Besòs,2019,"40,8","23,8","17,2","84,9","19,5","3,00"
1151,08194,Sant Adrià de Besòs,2020,"41,1","24,0","17,2","84,8","19,3","3,00"
1182,08200,Sant Boi de Llobregat,2015,"41,3","20,1","17,8","91,4","18,9","3,00"
1183,08200,Sant Boi de Llobregat,2016,"41,6","20,4","18,2","91,8","18,9","3,00"
1184,08200,Sant Boi de Llobregat,2017,"41,8","20,6","18,5","91,4","18,8","3,00"
1185,08200,Sant Boi de Llobregat,2018,"42,0","20,9","18,7","90,8","18,7","3,00"
1186,08200,Sant Boi de Llobregat,2019,"42,2","21,1","18,9","89,8","18,4","3,00"
1187,08200,Sant Boi de Llobregat,2020,"42,5","21,8","19,2","89,9","18,2","3,00"
1206,08204,Sant Climent de Llobregat,2015,"38,6","16,0","12,8","98,4","23,0","3,00"
1207,08204,Sant Climent de Llobregat,2016,"38,8","15,0","13,2","98,1","23,3","3,00"
1208,08204,Sant Climent de Llobregat,2017,"39,0","15,1","13,3","97,9","23,5","3,00"
1209,08204,Sant Climent de Llobregat,2018,"39,3","14,5","13,3","97,1","22,8","3,00"
1210,08204,Sant Climent de Llobregat,2019,"39,9","15,9","13,7","96,7","21,8","3,00"
1211,08204,Sant Climent de Llobregat,2020,"40,0","16,0","13,8","96,4","21,6","3,00"
1212,08205,Sant Cugat del Vallès,2015,"37,8","18,3","12,4","88,5","24,1","3,00"
1213,08205,Sant Cugat del Vallès,2016,"38,0","18,2","12,8","88,5","24,0","3,00"
1214,08205,Sant Cugat del Vallès,2017,"38,3","18,4","13,1","88,0","23,7","3,00"
1215,08205,Sant Cugat del Vallès,2018,"38,5","18,5","13,5","87,7","23,5","3,00"
1216,08205,Sant Cugat del Vallès,2019,"38,8","18,4","13,8","86,9","23,1","3,00"
1217,08205,Sant Cugat del Vallès,2020,"39,0","18,2","14,0","87,1","22,7","3,00"
1248,08211,Sant Feliu de Llobregat,2015,"41,1","21,1","17,5","93,5","19,8","3,00"
1249,08211,Sant Feliu de Llobregat,2016,"41,4","21,2","18,0","93,8","19,8","3,00"
1250,08211,Sant Feliu de Llobregat,2017,"41,7","21,2","18,4","93,6","19,7","3,00"
1251,08211,Sant Feliu de Llobregat,2018,"42,0","21,4","18,7","93,1","19,5","3,00"
1252,08211,Sant Feliu de Llobregat,2019,"42,3","21,6","19,1","92,2","19,2","3,00"
1253,08211,Sant Feliu de Llobregat,2020,"42,5","21,8","19,2","92,1","18,8","3,00"
1284,08217,Sant Joan Despí,2015,"40,4","19,5","16,3","93,5","20,6","3,00"
1285,08217,Sant Joan Despí,2016,"40,6","19,4","16,5","93,3","20,6","3,00"
1286,08217,Sant Joan Despí,2017,"40,9","19,5","16,8","92,8","20,3","3,00"
1287,08217,Sant Joan Despí,2018,"41,2","19,7","17,1","92,2","20,0","3,00"
1288,08217,Sant Joan Despí,2019,"41,5","19,7","17,5","91,6","19,6","3,00"
1289,08217,Sant Joan Despí,2020,"41,9","20,0","17,7","91,6","19,2","3,00"
1308,08221,Sant Just Desvern,2015,"40,9","25,0","17,5","90,9","20,2","3,00"
1309,08221,Sant Just Desvern,2016,"41,0","24,5","17,9","90,7","20,6","3,00"
1310,08221,Sant Just Desvern,2017,"41,1","25,9","18,3","90,1","20,7","3,00"
1311,08221,Sant Just Desvern,2018,"41,0","25,7","18,2","89,1","20,9","3,00"
1312,08221,Sant Just Desvern,2019,"40,9","25,5","17,9","88,6","21,0","3,00"
1313,08221,Sant Just Desvern,2020,"40,6","25,2","17,5","88,2","21,4","3,00"
1446,08244,Santa Coloma de Cervelló,2015,"37,5","15,1","11,3","96,7","25,2","3,00"
1447,08244,Santa Coloma de Cervelló,2016,"37,9","15,0","11,7","96,8","25,0","3,00"
1448,08244,Santa Coloma de Cervelló,2017,"38,3","15,4","12,0","96,8","24,7","3,00"
1449,08244,Santa Coloma de Cervelló,2018,"38,8","15,2","12,5","96,5","24,2","3,00"
1450,08244,Santa Coloma de Cervelló,2019,"39,3","16,0","13,0","96,1","23,5","3,00"
1451,08244,Santa Coloma de Cervelló,2020,"39,8","15,5","12,9","96,1","22,6","3,00"
1452,08245,Santa Coloma de Gramenet,2015,"41,8","22,2","19,5","80,9","18,0","3,00"
